"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMOC21",1.31615762629901e-21,0.474045189830706,0.583,0.359,3.19444617479033e-17,"8","SMOC2"
"RPL342",1.38700372876497e-21,0.265417848890643,1,0.996,3.36639675008547e-17,"8","RPL34"
"CHKA1",1.39777856935806e-21,0.275681589606922,0.515,0.299,3.39254836568894e-17,"8","CHKA"
"ST132",1.40361870040747e-21,0.321026813517882,0.953,0.839,3.40672294775896e-17,"8","ST13"
"SVIL3",1.43414825197782e-21,0.385874597276601,0.917,0.751,3.48082122237538e-17,"8","SVIL"
"KDM6B1",1.70019514165205e-21,0.278397939398839,0.657,0.416,4.1265436283037e-17,"8","KDM6B"
"CEP1351",1.84361044868928e-21,0.278838301193294,0.436,0.232,4.47462692001374e-17,"8","CEP135"
"ZNF6701",1.90816486887216e-21,0.305207871862923,0.398,0.211,4.63130695323962e-17,"8","ZNF670"
"ISG20",2.04841871844437e-21,0.264081102238511,0.284,0.129,4.97171707153632e-17,"8","ISG20"
"PRUNE22",2.07210872807481e-21,0.351621602059762,0.4,0.209,5.02921509391038e-17,"8","PRUNE2"
"ZBTB44",2.22050189829245e-21,0.252562129249403,0.483,0.272,5.38938015734561e-17,"8","ZBTB44"
"GREB1",3.19259300662289e-21,0.338542513533869,0.339,0.17,7.74874248637441e-17,"8","GREB1"
"EIF4G2",4.48739624205795e-21,0.335439747402444,0.951,0.863,1.08913594190989e-16,"8","EIF4G2"
"PABPC4",5.21105562371516e-21,0.338982803089876,0.661,0.453,1.26477531043191e-16,"8","PABPC4"
"ABHD2",5.43858511624839e-21,0.260445033654695,0.417,0.223,1.31999899356465e-16,"8","ABHD2"
"HNMT2",5.72090582683653e-21,0.250919659108022,0.379,0.198,1.38852105323149e-16,"8","HNMT"
"RPL314",7.29084399056905e-21,0.29072230914177,0.977,0.899,1.76956074495101e-16,"8","RPL31"
"PNRC21",7.98614793534728e-21,0.349117076882066,0.756,0.536,1.93831796538814e-16,"8","PNRC2"
"DYRK3",8.45190238026757e-21,0.313664198300017,0.604,0.385,2.05136122671474e-16,"8","DYRK3"
"CLMP2",1.10487715463168e-20,0.536008865258964,0.729,0.571,2.68164734200656e-16,"8","CLMP"
"ZEB11",1.15769624029363e-20,0.457979827517186,0.896,0.789,2.80984454481667e-16,"8","ZEB1"
"SRSF31",1.27805099907362e-20,0.358612848378264,0.905,0.775,3.10195757985158e-16,"8","SRSF3"
"PUM2",1.32321202560755e-20,0.286920418445629,0.729,0.489,3.21156790735209e-16,"8","PUM2"
"RPS62",1.33858701279804e-20,0.267982779205979,0.998,0.993,3.24888453876213e-16,"8","RPS6"
"PITHD11",1.34285411108389e-20,0.278895171043205,0.494,0.289,3.2592412130117e-16,"8","PITHD1"
"EPC2",1.35363739786029e-20,0.296400402430633,0.621,0.392,3.28541332834672e-16,"8","EPC2"
"PPTC7",1.57295886363415e-20,0.270485854349199,0.513,0.303,3.81772845792645e-16,"8","PPTC7"
"AP1AR",1.65508034168915e-20,0.270883939435996,0.485,0.282,4.01704549731373e-16,"8","AP1AR"
"ETS21",1.70766279506135e-20,0.356405158121537,0.739,0.523,4.1446683698934e-16,"8","ETS2"
"AHI1",1.84306791891186e-20,0.35058149454218,0.648,0.437,4.47331014599097e-16,"8","AHI1"
"CMYA5",2.19020139241062e-20,0.274987759789508,0.381,0.2,5.31583779951982e-16,"8","CMYA5"
"ITPRIP",2.26383853784077e-20,0.337447171797344,0.502,0.303,5.49456251519333e-16,"8","ITPRIP"
"ARL31",2.28588847023464e-20,0.274963357052503,0.426,0.236,5.54807990610651e-16,"8","ARL3"
"ADK",2.3716584070053e-20,0.431884985309525,0.765,0.574,5.75625211964255e-16,"8","ADK"
"LRIG1",2.64533980698281e-20,0.300437908508367,0.61,0.39,6.42050424552797e-16,"8","LRIG1"
"UBE2D11",2.66964449939149e-20,0.378367047417325,0.739,0.533,6.47949416447307e-16,"8","UBE2D1"
"SNCA",3.21840822177611e-20,0.328406658254719,0.39,0.21,7.81139859507279e-16,"8","SNCA"
"ZNF4511",4.56061398207938e-20,0.3113996249518,0.623,0.413,1.10690661959049e-15,"8","ZNF451"
"CITED23",5.46908749481595e-20,0.401394694185707,0.661,0.43,1.32740222586678e-15,"8","CITED2"
"THRB",5.61223792566448e-20,0.265368641259236,0.335,0.165,1.36214626693803e-15,"8","THRB"
"ZNRF3",6.54785796231332e-20,0.270172999274978,0.411,0.226,1.58923060603307e-15,"8","ZNRF3"
"PTTG1IP",6.79852156720377e-20,0.329191307998535,0.595,0.396,1.65006916957603e-15,"8","PTTG1IP"
"PNRC12",7.04942783101123e-20,0.328114815785674,0.928,0.846,1.71096662886473e-15,"8","PNRC1"
"ME3",8.13838399747751e-20,0.316436407845564,0.39,0.211,1.97526718002777e-15,"8","ME3"
"EIF4A22",8.5486932973476e-20,0.354564189590592,0.924,0.827,2.07485335019924e-15,"8","EIF4A2"
"MAP4K51",9.62784896268678e-20,0.333387036733153,0.958,0.869,2.33677522173371e-15,"8","MAP4K5"
"DNAJA42",1.06523160776563e-19,0.297314575415693,0.653,0.447,2.58542363520796e-15,"8","DNAJA4"
"AC016831.1",1.16376630256491e-19,0.256302875964775,0.508,0.298,2.82457719295529e-15,"8","AC016831.1"
"HNRNPA12",1.43445737427092e-19,0.265933227251324,0.987,0.919,3.48157149309295e-15,"8","HNRNPA1"
"BAMBI3",1.64668146037637e-19,0.282416958035399,0.481,0.275,3.99666057247949e-15,"8","BAMBI"
"TNRC6A",2.35606375277992e-19,0.338817615601082,0.644,0.444,5.71840233437214e-15,"8","TNRC6A"
"PARP14",2.51908764393783e-19,0.252376003869734,0.375,0.199,6.11407762060152e-15,"8","PARP14"
"MACROD21",2.83401412800573e-19,0.382650090031777,0.352,0.185,6.87843569008271e-15,"8","MACROD2"
"ENAH2",3.40976631665124e-19,0.31895349879023,0.771,0.565,8.27584382714422e-15,"8","ENAH"
"PLOD21",3.54524407775957e-19,0.341070263230254,0.761,0.59,8.60466190113024e-15,"8","PLOD2"
"ANTXR11",4.70163194948203e-19,0.459836673684295,0.636,0.439,1.14113309045878e-14,"8","ANTXR1"
"MAP3K2",6.23048236237402e-19,0.286875132708443,0.602,0.381,1.5122003741718e-14,"8","MAP3K2"
"SMARCA51",6.36666484304435e-19,0.278183809139341,0.729,0.517,1.54525322405529e-14,"8","SMARCA5"
"AGBL31",7.56841169121692e-19,0.285690962444346,0.337,0.171,1.83692920157526e-14,"8","AGBL3"
"FOSL21",8.50369009143023e-19,0.269406125551606,0.61,0.385,2.06393062209103e-14,"8","FOSL2"
"RALGPS2",8.51573358830767e-19,0.296079866547943,0.447,0.256,2.06685369921815e-14,"8","RALGPS2"
"VPS53",9.47515125735519e-19,0.250867402346674,0.472,0.275,2.29971396167268e-14,"8","VPS53"
"NTN1",9.56074673628888e-19,0.42391507755314,0.303,0.151,2.32048884036467e-14,"8","NTN1"
"ERC12",1.14914058932493e-18,0.308276091223114,0.847,0.664,2.78907912435055e-14,"8","ERC1"
"DISP1",1.2535104799389e-18,0.30975946180138,0.424,0.241,3.04239528585971e-14,"8","DISP1"
